Location,avg_MinTemp,avg_MaxTemp,avg_Rainfall,avg_Evaporation,avg_Sunshine,avg_Humidity9am,avg_Humidity3pm,avg_WindGustSpeed,avg_Pressure9am,avg_Pressure3pm,rain_probability,observations,wind_N,wind_NNE,wind_NE,wind_ENE,wind_E,wind_ESE,wind_SE,wind_SSE,wind_S,wind_SSW,wind_SW,wind_WSW,wind_W,wind_WNW,wind_NW,wind_NNW,dominant_wind,lat,lon,climate_profile,city_scope
Darwin,23.168907942238267,32.511411817771766,5.314930085701398,6.287172413793103,8.493044263775971,68.38673285198557,51.73420577617328,40.64611872146119,1011.9106901217862,1008.3559115523464,0.2656743346865133,2217,206,80,74,150,394,294,124,49,28,35,32,44,71,266,210,160,E,-12.4634,130.8456,Hot dry/interior,Main city
GoldCoast,17.332766164316965,25.748346303501943,3.9093610698365526,5.4340981290171415,7.647679004727114,66.50439024390244,63.0565577766943,42.5595,1017.9035002430724,1015.1947496353914,0.2620320855614973,2057,91,242,106,68,73,129,322,486,211,7,14,8,66,79,111,44,SSE,-28.0167,153.4,Humid/wet,Other location
Hobart,9.095310406431445,17.91170688114388,1.585075960679178,3.585522788203753,6.56042133572389,65.5244285073958,52.76177658142665,47.85354896675651,1014.504691689008,1012.9102770330652,0.2443054935238946,2239,117,19,21,13,16,106,185,79,94,155,174,97,86,134,448,495,NNW,-42.8821,147.3272,Cool temperate,Main city
Katherine,20.48672480620155,34.925428571428576,2.9268500948766603,7.430348258706467,7.647679004727114,63.27712031558186,42.21653543307087,38.80057526366252,1012.9166353383458,1008.5945334590008,0.1633802816901408,1065,24,25,44,101,254,192,124,56,36,22,13,14,28,42,60,30,E,-14.4652,132.2635,Hot dry/interior,Other location
Launceston,7.810633156114065,19.021342346692418,1.9791384317521783,6.352884615384616,7.647679004727114,79.63025616239729,57.27224371373308,35.31289537712895,1015.8486902927582,1013.9134822804316,0.2273166023166023,2072,170,27,11,20,45,31,98,199,67,36,26,44,47,104,500,647,NNW,-41.4332,147.1441,Cool temperate,Other location
Melbourne,11.774041297935105,20.86430678466077,1.7365336658354114,4.606961651917405,6.438842975206612,67.20318960425281,51.09461856889415,45.385892116182575,1017.7574041297936,1015.9080283353012,0.2601769911504424,1695,527,64,7,1,3,9,45,196,220,144,131,106,82,35,46,79,N,-37.8136,144.9631,Cool temperate,Main city
MelbourneAirport,10.024170172978028,20.551005142589997,1.4557269752220665,4.706878802058961,6.376145930776427,70.09700093720711,50.97470725995316,46.94692343823392,1018.0393641888734,1016.2441795231416,0.2187938288920056,2139,664,84,8,2,4,5,50,305,310,114,187,147,103,58,37,61,N,-37.669,144.841,Cool temperate,Other location
Mildura,10.724293785310737,24.783521657250468,0.9634778510838832,5.928739002932551,8.449558390578998,64.12576542628356,35.28099952852428,37.36192271442036,1018.794957587182,1016.2559377945336,0.10969868173258,2124,188,142,61,39,41,62,157,198,168,214,164,188,178,140,110,74,SSW,-34.208,142.1246,Warm temperate,Other location
Moree,12.85121347201585,26.91683168316832,1.722994923857868,7.681377551020408,8.887308228730824,61.1864154685176,35.897766749379656,39.83002544529262,1018.3264851485148,1014.9420505200594,0.146039603960396,2020,74,326,220,191,184,86,42,37,69,160,222,194,78,52,45,40,NNE,-29.4658,149.8339,Warm temperate,Other location
MountGambier,8.906030855539973,19.741000467508183,2.169821930646673,3.442034445640474,6.434405670665212,75.44090056285178,57.40955951265229,42.86350710900474,1017.9690186915888,1016.4464419475656,0.3032710280373831,2140,275,92,37,22,38,53,55,134,243,222,197,177,232,132,94,137,N,-37.8284,140.7804,Cool temperate,Other location
MountGinini,3.692195367573011,11.831761786600495,3.2253822629969418,5.4340981290171415,7.647679004727114,77.60597519729424,69.69297297297297,46.07936507936508,1017.675448778249,1015.2805967151932,0.2923456790123457,2025,32,53,52,140,116,85,19,58,61,79,172,246,440,172,228,72,W,-35.5294,148.772,Humid/wet,Other location
Newcastle,13.707293868921775,24.144062657908037,3.306054781355117,5.4340981290171415,7.647679004727114,73.97368421052632,56.91389830508475,40.00855815115693,1017.6754487782488,1015.2805967151932,0.2404580152671755,2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-32.9283,151.7817,Humid/wet,Other location
Nhil,8.983362676056338,22.37948943661972,0.9283318623124448,5.4340981290171415,7.647679004727114,73.40845070422536,45.08450704225352,42.54008810572687,1018.4986795774648,1016.3767605633802,0.1522887323943662,1136,53,16,34,39,53,37,29,78,109,93,129,93,152,83,91,47,W,-36.3333,141.65,Warm temperate,Other location
NorahHead,15.417772277227725,22.69140316205533,3.5525474525474525,5.4340981290171415,7.647679004727114,74.5939514129896,67.71039603960396,42.33432098765432,1018.1358238495794,1015.8733695652174,0.2800788954635108,2028,152,304,264,52,28,45,62,220,323,214,38,51,99,95,49,32,S,-33.2817,151.5667,Humid/wet,Other location
NorfolkIsland,16.804121687929342,21.77065750736016,3.092,4.761392405063291,6.990610859728506,70.85995085995086,67.74852652259332,42.38877855014896,1017.6945866141732,1015.9380157170924,0.3199214916584887,2038,65,101,112,194,335,161,187,149,99,107,129,94,117,93,60,35,E,-29.0408,167.9547,Humid/wet,Other location
Nuriootpa,9.39353919239905,21.72589073634204,1.3880816714150048,5.103555555555555,7.635828343313373,66.6592099000476,45.44645406949072,40.672413793103445,1018.8641805225652,1016.7605413105414,0.1976303317535545,2110,70,79,116,57,42,104,359,116,30,47,151,264,284,228,107,56,SE,-34.4683,138.9969,Warm temperate,Other location
PearceRAAF,12.501033591731266,26.352677651905253,1.5976968398500269,5.4340981290171415,8.924102564102563,60.25824742268041,41.205366357069146,43.63185935002664,1017.8014933058702,1015.2005678884874,0.1874039938556067,1953,54,41,52,167,428,165,59,15,76,117,232,261,117,63,50,56,E,-31.6678,116.015,Warm temperate,Other location
Penrith,12.582083739045766,24.74341913550267,2.146870379497289,5.4340981290171415,7.647679004727114,75.56634952428642,48.81054201889607,31.877680311890835,1017.675448778249,1015.2805967151932,0.2034968431277319,2059,108,142,133,162,91,152,201,118,154,148,141,94,99,132,127,57,SE,-33.7511,150.6942,Warm temperate,Other location
Perth,12.896153846153846,25.01162687886826,1.9735632183908045,5.55106100795756,8.732964111652636,62.93173758865248,46.84847142224192,34.803010181496234,1017.8261831048208,1015.4395842547544,0.2064544650751547,2262,39,93,208,122,100,90,88,87,57,344,505,194,91,103,97,44,SW,-31.9523,115.8613,Warm temperate,Main city
PerthAirport,12.538394093216429,25.412321181356717,1.8953391785879092,5.603739612188366,8.715533980582524,58.96677434240886,42.20960295475531,44.468413664014975,1017.8703139427516,1015.368190212373,0.1956622058144901,2167,60,68,85,210,437,117,53,29,67,132,282,244,157,85,97,44,E,-31.9403,115.9669,Warm temperate,Other location
Portland,9.681775035595631,18.15875946969697,2.5349786426198384,3.4540570175438594,6.57034980566352,78.63911580970687,65.67047075606277,41.98854415274463,1017.7941120607788,1016.7131591448932,0.3700899195456696,2113,147,66,17,46,114,89,176,74,130,107,121,211,378,184,117,136,W,-38.3462,141.604,Cool temperate,Other location
Richmond,11.294834307992202,24.4454766536965,2.1365517241379317,5.301559633027523,7.647679004727114,76.893385982231,48.71033119130005,34.83781143136297,1018.83888617489,1015.7451470588236,0.1786407766990291,2060,54,76,174,230,178,207,211,114,137,118,74,93,169,110,57,58,ENE,-33.599,150.751,Warm temperate,Other location
Sale,8.558480649784999,20.27476099426386,1.5079060852898898,3.7847133757961777,6.695883777239709,78.93698893698894,56.243761996161226,42.12637913741224,1017.8144161460835,1015.890004805382,0.2178690874343048,2093,14,16,19,66,363,193,90,64,60,35,60,204,536,207,135,31,W,-38.106,147.067,Cool temperate,Other location
SalmonGums,9.318894918598916,24.33538689009364,1.0370919881305638,5.4340981290171415,7.647679004727114,62.52512315270936,40.543842364532026,39.749750747756735,1017.675448778249,1015.2805967151932,0.1634662727720335,2031,153,104,107,99,106,67,143,189,187,234,104,69,100,124,142,103,SSW,-32.981,121.645,Warm temperate,Other location
Sydney,14.843129770992366,22.9843577787198,3.2806615776081425,5.134853700516351,7.180076628352491,68.29714772243507,54.55843603909902,41.80914144533663,1018.392419080068,1016.045662265758,0.2592121982210927,2361,22,103,122,146,99,96,55,160,125,119,39,90,1042,57,47,39,W,-33.8688,151.2093,Humid/wet,Main city
SydneyAirport,14.857979990471652,23.35090476190476,2.8688602765855986,5.239478764478764,7.129262452107279,64.78551000953289,53.76644423260248,47.033414043583534,1018.4240687679082,1015.985938989514,0.2571428571428571,2100,35,146,274,139,81,34,85,80,351,245,71,126,147,132,112,42,S,-33.9399,151.1753,Warm temperate,Other location
Townsville,20.40698669201521,29.386372269705603,3.328319847691575,7.180714635340186,8.514277808522412,63.69135802469136,57.168091168091166,38.82806513409962,1015.1880341880342,1011.9245014245014,0.1671415004748338,2106,90,88,369,745,281,232,68,28,30,81,38,7,7,6,10,26,ENE,-19.2589,146.8169,Hot dry/interior,Other location
Tuggeranong,7.308341277407054,20.88331744518589,2.056038647342995,5.4340981290171415,7.647679004727114,72.74687800192123,47.001913875598085,35.28933524629364,1018.5042665388304,1015.6258727881398,0.1919961886612672,2099,235,62,91,180,114,59,49,113,150,59,26,66,188,287,274,146,WNW,-35.4244,149.0888,Cool temperate,Other location
Uluru,14.27581888246628,30.264134615384616,0.7322926829268293,5.4340981290171415,7.647679004727114,42.43407122232916,24.209615384615383,41.52105778648384,1017.1139557266604,1013.3028846153846,0.0807692307692307,1040,26,21,53,126,272,96,75,54,56,62,25,27,38,27,34,48,E,-25.3444,131.0369,Hot dry/interior,Other location
WaggaWagga,9.536121856866538,22.931528046421665,1.8226433430515063,5.108102667337695,8.168955890563932,68.25895450145208,42.79932301740812,36.58895405669599,1018.6215183752416,1015.9650870406188,0.178916827852998,2068,83,50,77,316,242,61,39,48,50,51,169,280,287,175,79,61,ENE,-35.1082,147.3598,Warm temperate,Other location
Walpole,11.91765002521432,20.568195564516127,2.8687468030690537,5.4340981290171415,7.647679004727114,75.98676844783715,66.13987792472024,39.92577529232334,1017.728686462003,1016.088072471062,0.3383609854198089,1989,43,92,105,53,36,113,340,96,77,259,71,151,113,155,222,63,SE,-34.978,116.731,Cool temperate,Other location
Watsonia,10.088704318936877,20.89290108849976,1.7677113010446344,4.622748815165877,6.404545454545455,78.5924869234427,54.61097964978703,37.78129496402878,1018.2103644107904,1016.210269758637,0.2389966871746332,2113,412,109,65,62,24,28,62,20,150,348,253,190,172,36,59,123,N,-37.711,145.082,Cool temperate,Other location
Williamtown,12.852367841409691,24.16769570011025,3.511386430678466,6.776256767208044,7.099288617886179,71.36850828729281,53.63867403314917,41.76094470046083,1018.3542588495576,1015.8389718076284,0.2725770925110132,1816,12,16,74,109,105,104,200,162,165,124,47,32,70,427,154,15,WNW,-32.815,151.8428,Humid/wet,Other location
Witchcliffe,10.867818889970788,21.698832684824904,2.9630934899657366,5.4340981290171415,7.647679004727114,71.33263046916183,57.66211245401997,40.01024890190337,1018.3768645357686,1016.7728194726168,0.3009708737864077,2060,154,63,30,29,31,37,145,433,201,150,167,144,141,137,95,103,SSE,-34.026,115.101,Warm temperate,Other location
Wollongong,14.831316042267051,21.40579779587925,3.5214944201843763,5.4340981290171415,7.647679004727114,67.32015429122468,64.83934583934584,45.62667946257198,1018.2295953193563,1016.1271938283512,0.231578947368421,2090,85,101,334,57,25,39,99,131,317,225,92,116,134,134,118,83,NE,-34.4278,150.8931,Humid/wet,Other location
Woomera,13.256878048780488,26.47186738176499,0.531704934049829,10.012999437253798,9.008534850640114,53.19951100244499,28.41895874263261,43.9792490118577,1018.7051319648094,1016.0714774951076,0.0681928884559181,2053,192,114,68,46,53,68,197,275,188,240,180,137,104,41,65,85,SSE,-31.1998,136.8257,Warm temperate,Other location
